parser,chunker,retriever_label,evidence_recall_5,evidence_recall_10,mrr,p50_latency_ms,p95_latency_ms,index_build_s,n_chunks,dense_dim,vector_bytes,index_cost_per_query_proxy_ms,total_proxy_cost_ms,pareto_latency,pareto_total_cost
normal,advanced,BGE-base,0.8948611111111111,0.9448611111111112,0.7715873015873016,11.57677173614502,43.36967468261718,3.8748903274536133,175,768,537600,22.142230442592076,33.7190021787371,False,False
normal,advanced,MPNet-base,0.8012599206349207,0.8909027777777777,0.644344246031746,12.103080749511719,33.37682485580436,4.190453290939331,175,768,537600,23.945447376796178,36.0485281263079,False,False
docling,basic,BGE-base,0.868015873015873,0.9253075396825396,0.71359375,10.461807250976562,15.661764144897436,3.4694344997406006,135,768,414720,25.699514812893337,36.1613220638699,False,False
docling,basic,MPNet-base,0.7708567821067821,0.8462734487734488,0.6169280753968254,11.933565139770508,18.337225914001465,3.297138214111328,135,768,414720,24.423246030454283,36.35681117022479,False,False
docling,basic,E5-base,0.8743984487734489,0.9362734487734489,0.7192852182539683,10.822653770446777,18.697285652160645,3.5017383098602295,135,768,414720,25.93880229526096,36.76145606570773,False,False
context_aware,basic,MPNet-base,0.7900099206349206,0.8718353174603175,0.638435515873016,12.392163276672363,36.08040809631346,4.01589298248291,157,768,482304,25.578936194158665,37.97109947083103,False,False
normal,basic,MiniLM-L6,0.8287599206349207,0.9084474206349207,0.6618814484126985,6.3980817794799805,10.70495843887329,4.197807788848877,126,384,193536,33.31593483213394,39.71401661161392,False,False
normal,basic,BGE-small,0.8693849206349207,0.9362152777777777,0.7294474206349206,11.816978454589844,27.974188327789296,6.022381544113159,126,384,193536,47.79667892153301,59.61365737612285,False,False
normal,basic,MPNet-base,0.7880902777777777,0.8602777777777777,0.6273000992063492,11.906623840332031,49.86485242843627,8.75758695602417,126,768,387072,69.50465838114421,81.41128222147624,False,False
normal,basic,E5-base,0.8720932539682539,0.9367361111111111,0.7281423611111112,11.110305786132812,50.825476646423326,10.441997051239014,126,768,387072,82.8729924701509,93.98329825628372,False,False
normal,basic,BGE-base,0.8718402777777777,0.9310664682539682,0.7211840277777778,10.7574462890625,48.545801639556885,11.585507154464722,126,768,387072,91.94846947987874,102.70591576894124,False,False
